sqft,bedrooms,bathrooms,age_years,garage_spaces,lot_size_sqft,distance_to_city_km,school_rating,price
3974,4,1,34,0,7881,12.3,3,570700
4307,1,2,15,1,8665,4.4,6,620900
1660,5,1,40,1,4849,2.6,2,282600
2094,5,2,35,2,13443,38.4,3,353900
1930,2,2,32,2,9390,34.0,5,294900
1895,5,3,3,2,8905,14.5,9,408800
3892,2,2,32,1,13922,38.3,2,516600
2438,1,3,13,1,4489,27.2,10,432800
2969,4,1,20,2,11823,19.6,8,455800
1266,4,1,47,2,13008,20.0,2,270900
2038,4,1,19,1,11207,3.8,5,354800
1130,5,1,7,2,11540,4.1,7,293300
2282,1,3,6,0,6611,24.3,8,371300
2935,5,1,2,1,13279,22.4,1,494900
4244,5,2,16,2,4839,8.9,6,646500
3971,1,2,32,1,10527,37.9,1,557400
3719,1,2,47,0,7878,31.4,2,502600
930,1,3,11,1,14784,5.0,1,239000
2485,1,1,21,1,11087,37.3,5,379300
4180,4,1,21,1,8303,39.0,10,597600
1569,3,1,45,1,13738,39.8,9,260200
3191,3,3,29,0,2851,2.7,6,480400
2315,1,2,37,1,3687,29.6,1,333800
4285,3,2,37,1,12123,22.1,1,600900
3653,3,1,44,2,8833,28.4,2,481100
3233,1,2,7,1,13938,38.8,9,503000
2015,3,2,26,2,4427,27.7,3,314200
1755,5,3,26,0,11760,33.6,1,305800
3124,2,3,33,0,6000,34.7,5,459000
1984,2,3,20,0,7052,33.6,7,324800
1259,1,3,29,0,4738,17.3,6,246100
4185,4,1,32,2,13690,9.3,1,642700
821,1,3,27,1,7732,16.2,5,195800
3100,4,2,46,0,7387,35.7,5,440300
1547,2,1,32,1,10002,6.3,6,288300
3704,1,2,4,2,7536,20.8,3,530300
4432,5,2,47,2,5913,9.7,5,651800
1274,3,2,18,2,3066,23.5,7,264900
1882,4,3,3,0,9723,34.6,5,348600
3358,3,3,34,1,6380,35.3,5,501300
2847,3,1,48,1,12636,9.8,5,444000
4347,1,1,16,1,6107,36.4,10,625700
3547,3,3,43,2,7726,23.9,10,546700
1775,5,2,27,0,5373,14.3,3,323700
2606,3,1,29,2,14161,28.5,1,415700
989,1,3,28,2,12738,19.5,5,240600
3805,5,3,45,1,10945,15.4,9,596300
3534,2,3,5,2,4082,28.4,1,535600
3805,3,2,34,1,12966,10.3,3,556200
1362,1,3,40,0,13088,13.5,4,261400
2699,2,3,36,1,14377,17.7,1,418900
4438,2,3,23,0,10967,10.5,1,648200
2067,4,3,28,1,8748,16.5,8,403200
3679,5,1,48,2,11817,23.1,2,544000
2328,3,1,45,2,13261,29.8,8,380700
4002,1,3,30,0,2417,30.8,7,547300
4356,4,2,34,0,10306,33.0,10,625400
1446,5,1,32,0,10808,29.9,10,269300
2868,4,3,20,1,5974,27.4,2,420500
3688,5,1,31,1,5267,9.9,6,548800
3014,5,1,22,0,2825,16.3,6,458800
2097,3,2,32,2,9668,19.4,3,389000
3235,5,3,2,1,7745,3.8,2,560100
1400,4,3,17,1,11708,21.4,1,300100
3163,5,2,24,1,13338,17.7,6,548300
2861,3,2,41,0,2412,32.2,5,435700
1041,3,3,30,0,9543,39.1,9,204600
2841,4,3,2,0,9587,22.5,1,478100
3624,2,2,39,0,2728,13.2,7,531900
4217,2,1,45,0,13540,2.2,5,597500
3412,5,1,23,2,9164,37.0,5,492400
3745,1,2,49,2,13000,36.8,2,528400
2163,5,1,31,0,10867,10.5,3,337200
2939,4,2,46,1,13657,28.0,7,466300
2190,4,1,21,0,7988,3.5,6,368200
3803,4,1,22,2,4504,7.1,2,539800
2278,4,3,1,2,4967,9.1,6,439300
4299,4,3,26,1,4786,12.1,2,631200
3356,3,1,41,2,3122,39.8,2,461200
1575,2,1,1,0,6079,28.0,2,275900
834,4,3,25,1,3571,15.7,3,214000
3053,1,3,16,0,7073,29.6,2,455600
3952,1,3,39,0,7104,36.7,4,557800
2755,1,2,32,1,4143,38.4,9,414700
2385,1,1,8,0,11879,2.8,6,396000
4259,3,3,42,2,8806,16.1,1,644600
3873,1,1,47,0,9357,4.7,8,568800
1821,4,2,38,1,14324,13.8,7,347800
4261,5,2,28,1,14043,7.2,10,655000
3413,1,3,41,1,5440,26.1,3,496600
1929,3,2,25,0,5766,15.8,1,322100
2300,3,1,34,1,7644,9.6,5,398200
1502,1,3,49,1,12518,11.0,4,297800
3249,5,1,24,0,4914,14.7,10,519400
3577,1,1,23,2,6968,10.8,8,527200
2379,3,2,12,0,7917,18.4,1,368500
961,2,2,6,1,14144,1.8,10,261200
1001,4,2,35,1,10787,11.6,1,236100
2781,3,2,44,0,2728,16.7,4,387900
1795,1,2,19,2,3365,24.3,8,327800
